random : rwll,uncnormprop++switchKkde : rwll0010,uncnormswitchK : rwll0010,uncnormprop++ : rwll0010,unc : rwll0010,uncnormprop : rwll0010,unc : rwll,uncnormprop++kde : rwll0010,unc : laplace,uncnormpropdecaytau : rwll0010,uncnormprop++decaytaukde : rwll0010,vopt : rwll0100,uncnormprop++decaytau : rwll0010,uncnormkde : rwll0010,uncnormprop++switchK : rwll0010,mcvopt : rwll,voptfull : laplace,uncnormdecaytaukde : rwll0010,uncnormdecaytau : rwll0010,uncnorm : rwll,uncnormpropswitchK : rwll0010,uncnorm : rwll0010
25.160544567171847,33.393269971744154,29.7200102748523,31.055741073722064,29.7200102748523,26.753146673516568,21.808374004623683,32.45568969946057,24.12021577189828,32.03185204212689,26.35499614693039,31.95479064988441,33.457487798612895,29.7200102748523,27.36963781145646,31.76213716927819,22.951451322887234,29.7200102748523,29.7200102748523,22.05240174672489,30.61905985101464,29.7200102748523
25.42068079640334,28.36223506743738,29.98073217726397,34.84906872190109,29.98073217726397,30.507385998715478,25.78034682080925,34.5407835581246,26.229929351316635,34.95183044315992,25.690430314707772,31.303789338471418,35.401412973667306,29.98073217726397,27.784200385356456,35.91522157996146,22.6461143224149,29.98073217726397,29.98073217726397,22.517662170841362,31.67630057803468,29.98073217726397
24.139260020554985,32.11716341212744,33.68448098663926,37.5256937307297,33.68448098663926,30.819630010277493,28.07040082219938,38.28365878725591,27.09403905447071,32.65673175745118,29.496402877697843,31.80883864337102,39.36279547790339,33.68448098663926,31.667523124357658,35.82990750256937,22.66187050359712,33.68448098663926,33.68448098663926,23.227132579650565,31.680369989722507,33.68448098663926
24.386483361171784,32.9949890787614,30.95207503533342,41.37222150841578,30.95207503533342,31.093408711293847,25.915456764743674,38.23718360529359,31.401773095207503,34.11280997044841,33.277656430682256,31.954259283052806,30.283952203520492,30.95207503533342,30.10407297957086,34.81947835025055,26.737761788513428,30.95207503533342,30.95207503533342,18.514711550815882,32.51959398689451,30.95207503533342
24.633770239013106,33.30763299922899,34.823952711385246,43.62631714212285,34.823952711385246,34.86250321254176,30.1721922384991,38.34489848368029,33.57748650732459,37.008481110254436,33.705988177846315,32.099717296324854,34.37419686455924,34.823952711385246,33.975841685941916,37.342585453610894,30.0822410691339,34.823952711385246,34.823952711385246,18.825494731431508,36.340272423541506,34.823952711385246
24.714047037655828,35.56098187893587,36.52486826886005,44.0431821102686,36.52486826886005,34.34005911836525,33.54324636936126,38.79964014908109,36.33209099087521,38.928158334404316,33.90309728826629,35.74090733838838,34.51998457781776,36.52486826886005,34.41717002955918,37.732939210898344,30.07325536563424,36.52486826886005,36.52486826886005,19.033543246369362,39.86634108726385,36.52486826886005
24.28020565552699,37.7120822622108,38.45758354755784,40.57840616966581,38.45758354755784,34.447300771208226,36.51670951156812,37.81491002570694,37.24935732647815,35.82262210796915,35.462724935732645,37.17223650385604,35.96401028277635,38.45758354755784,36.670951156812336,38.34190231362468,30.12853470437018,38.45758354755784,38.45758354755784,20.796915167095115,39.79434447300771,38.45758354755784
24.23190641470626,40.905000642756136,42.29335390152976,42.93611003985088,42.29335390152976,34.8630929425376,31.28936881347217,38.398251703303764,39.31096541971976,36.122894973647,36.058619359814884,37.125594549427944,37.56266872348631,42.29335390152976,40.27509962720144,37.35698675922355,32.92196940480782,42.29335390152976,42.29335390152976,23.473454171487337,38.97673222779277,42.29335390152976
24.222165080997687,38.76317819490872,42.710208279763435,44.35587554641296,42.710208279763435,36.80894831576241,31.229107739778865,38.66032399074312,39.54744150167138,36.358961172537924,36.423245050141425,33.60761121110826,37.69606582669066,42.710208279763435,40.48598611468244,39.58601182823348,32.91334533299049,42.710208279763435,42.710208279763435,25.662123939316018,39.1231679094883,42.710208279763435
25.31824611032532,42.522823710942525,46.2003343191462,45.274527452745275,46.2003343191462,34.820624919634824,32.686125755432684,39.69396939693969,39.59110196733959,32.03034589173203,39.47537610903947,33.8948180532339,37.95808152243796,46.2003343191462,39.8997042561399,39.80969525523981,36.24791050533625,46.2003343191462,46.2003343191462,26.102610261026104,39.17963224893918,46.2003343191462
